                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66201,                 2.5407,                 1.0206,                0.89474,                0.91079,                0.98074,                0.85624,                0.45644,                 2.3231,                 0.8696,                0.00024,                0.00024,                0.00024
                      2,                0.54892,                 1.3396,                0.89501,                0.96844,                0.94643,                0.99184,                0.87432,                0.50785,                 2.6481,                0.86771,             0.00049505,             0.00049505,             0.00049505
                      3,                0.56888,                 1.1658,                0.88774,                0.93985,                0.83705,                0.97294,                0.77446,                0.72827,                 2.4559,                  1.012,             0.00074495,             0.00074495,             0.00074495
                      4,                 0.5568,                  1.133,                0.89412,                0.93649,                      1,                0.96982,                0.82515,                0.57023,                 2.2163,                0.99617,             0.00098971,             0.00098971,             0.00098971
                      5,                0.57438,                 1.0037,                 0.9019,                0.98275,                0.94643,                0.99137,                0.85539,                0.54775,                 2.0748,                0.91063,              0.0012293,              0.0012293,              0.0012293
                      6,                0.59478,                0.98695,                0.89609,                0.97675,                0.92857,                 0.9862,                0.84561,                0.55512,                  1.447,                0.95668,              0.0014638,              0.0014638,              0.0014638
                      7,                0.61156,                 1.0049,                0.91587,                0.96285,                0.92569,                0.97304,                0.83907,                0.55619,                 1.2933,                0.90846,              0.0016931,              0.0016931,              0.0016931
                      8,                0.62917,                0.95149,                0.91879,                0.92799,                0.92857,                0.95806,                0.81413,                0.66688,                 1.5015,                0.96641,              0.0018614,              0.0018614,              0.0018614
                      9,                0.60884,                 0.8936,                0.91442,                0.84285,                0.95783,                0.96113,                0.79591,                0.57564,                 2.0394,                0.92061,              0.0018416,              0.0018416,              0.0018416
                     10,                0.58963,                0.82687,                0.92057,                0.88026,                0.91902,                0.96057,                0.75829,                0.66848,                 1.6718,                0.97938,              0.0018218,              0.0018218,              0.0018218
                     11,                0.61433,                0.81982,                0.92832,                0.99494,                      1,                  0.995,                0.85447,                0.55614,                 1.1622,                0.89498,               0.001802,               0.001802,               0.001802
                     12,                0.61443,                0.83772,                0.93555,                0.97093,                0.98214,                0.99466,                0.83648,                0.58167,                0.98849,                0.93303,              0.0017822,              0.0017822,              0.0017822
                     13,                0.60311,                0.75962,                0.91234,                0.96537,                 0.9956,                0.99305,                0.86903,                0.59359,                0.92177,                 0.9017,              0.0017624,              0.0017624,              0.0017624
                     14,                0.55543,                0.72196,                0.90128,                0.97662,                0.96429,                0.98349,                0.88802,                0.48607,                0.98615,                0.87175,              0.0017426,              0.0017426,              0.0017426
